FlightDate,avg_num_flights
2024-11-01,NULL
2024-11-02,20136.0000
2024-11-03,18501.5000
2024-11-04,19006.6667
2024-11-05,18686.0000
2024-11-06,18422.0000
2024-11-07,17657.6667
2024-11-08,17991.6667
2024-11-09,19236.3333
2024-11-10,18766.3333
2024-11-11,18797.3333
2024-11-12,19120.0000
2024-11-13,19694.3333
2024-11-14,18990.6667
2024-11-15,18983.6667
2024-11-16,19903.0000
2024-11-17,19361.6667
2024-11-18,19378.6667
2024-11-19,19433.3333
2024-11-20,19963.3333
2024-11-21,19111.0000
2024-11-22,19140.3333
2024-11-23,20155.3333
2024-11-24,20534.0000
2024-11-25,20555.0000
2024-11-26,20499.6667
2024-11-27,21099.6667
2024-11-28,21158.0000
2024-11-29,17894.3333
2024-11-30,16721.6667
